File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
./src/main/java/io/github/itamardenkberg/camper/Camper.java,58 (12.3%),49,84.5%,0,0.0%,9,15.5%
./src/main/java/io/github/itamardenkberg/camper/common/entities/passive/SquirrelEntity.java,69 (14.6%),59,85.5%,0,0.0%,10,14.5%
./src/main/java/io/github/itamardenkberg/camper/common/events/EntityEvents.java,32 (6.8%),28,87.5%,0,0.0%,4,12.5%
./src/main/java/io/github/itamardenkberg/camper/common/items/CustomSpawnEggItem.java,59 (12.5%),50,84.7%,0,0.0%,9,15.3%
./src/main/java/io/github/itamardenkberg/camper/core/init/TagInit.java,32 (6.8%),14,43.8%,13,40.6%,5,15.6%
./src/main/java/io/github/itamardenkberg/camper/core/init/BlockInit.java,18 (3.8%),15,83.3%,0,0.0%,3,16.7%
./src/main/java/io/github/itamardenkberg/camper/core/init/ItemInit.java,23 (4.9%),18,78.3%,0,0.0%,5,21.7%
./src/main/java/io/github/itamardenkberg/camper/core/init/EntityTypesInit.java,19 (4.0%),16,84.2%,0,0.0%,3,15.8%
./src/main/java/io/github/itamardenkberg/camper/core/init/FoodInit.java,8 (1.7%),6,75.0%,0,0.0%,2,25.0%
./src/main/java/io/github/itamardenkberg/camper/core/util/ClientEventBusSubscriber.java,20 (4.2%),17,85.0%,0,0.0%,3,15.0%
./src/main/java/io/github/itamardenkberg/camper/client/render/entity/SquirrelEntityRenderer.java,21 (4.4%),17,81.0%,0,0.0%,4,19.0%
./src/main/java/io/github/itamardenkberg/camper/client/render/model/SquirrelEntityModel.java,114 (24.1%),91,79.8%,2,1.8%,21,18.4%
Total,473,380,0.8033826638477801,15,0.03171247357293869,78,0.1649048625792812
